dropout,layer_width,num_layers,optimizer,AUC
0.05,36.0,2.0,sgd,0.6101361513137817
0.05,36.0,2.0,adam,0.7936384081840515
0.1,20.0,2.0,rmsprop,0.7875264883041382
0.05,20.0,1.0,rmsprop,0.7763863801956177
0.05,12.0,2.0,rmsprop,0.7622108459472656
0.0,36.0,3.0,rmsprop,0.778552770614624
0.15000000000000002,12.0,1.0,rmsprop,0.7649226784706116
0.1,40.0,1.0,rmsprop,0.7990310788154602
0.1,40.0,3.0,adam,0.7888692021369934
0.0,20.0,2.0,sgd,0.5601384043693542
0.1,4.0,3.0,rmsprop,0.5723796486854553
0.0,12.0,2.0,adam,0.7538771629333496
0.05,8.0,2.0,adam,0.6980782747268677
0.15000000000000002,4.0,1.0,sgd,0.5027605295181274
0.15000000000000002,36.0,2.0,rmsprop,0.7950360178947449
0.0,12.0,2.0,rmsprop,0.7105950713157654
0.05,32.0,1.0,sgd,0.672271192073822
0.05,4.0,1.0,sgd,0.5276317596435547
0.0,32.0,3.0,sgd,0.6074510812759399
0.05,24.0,2.0,adam,0.7822153568267822
0.05,40.0,2.0,adam,0.7881879806518555
0.05,28.0,1.0,rmsprop,0.790305495262146
0.0,16.0,3.0,rmsprop,0.779117226600647
0.05,8.0,3.0,adam,0.6994869112968445
0.05,32.0,3.0,rmsprop,0.785529375076294
0.0,28.0,1.0,adam,0.7864132523536682
0.1,36.0,2.0,rmsprop,0.7996380925178528
0.15000000000000002,24.0,2.0,sgd,0.6096292734146118
0.15000000000000002,8.0,3.0,sgd,0.5211101174354553
0.0,8.0,2.0,sgd,0.5818394422531128
0.1,16.0,2.0,sgd,0.5223478078842163
0.15000000000000002,40.0,1.0,adam,0.7991446852684021
0.1,4.0,1.0,adam,0.6623935699462891
0.0,20.0,2.0,rmsprop,0.7788203358650208
0.1,32.0,3.0,sgd,0.6005534529685974
0.1,36.0,2.0,adam,0.8007732629776001
0.0,36.0,3.0,sgd,0.5749848484992981
0.0,44.0,2.0,sgd,0.6541165113449097
0.0,36.0,1.0,sgd,0.658905029296875
0.05,12.0,2.0,sgd,0.5428767204284668
0.1,16.0,2.0,rmsprop,0.7749701142311096
0.1,24.0,2.0,adam,0.7940570116043091
0.05,44.0,1.0,sgd,0.6537615060806274
0.05,48.0,2.0,sgd,0.6599387526512146
0.15000000000000002,40.0,3.0,adam,0.8004629015922546
0.0,40.0,1.0,rmsprop,0.8000764846801758
0.1,24.0,3.0,sgd,0.5506563186645508
0.1,28.0,1.0,sgd,0.6648378968238831
0.15000000000000002,4.0,1.0,rmsprop,0.6327933073043823
0.05,44.0,3.0,adam,0.7857261300086975
0.1,28.0,2.0,rmsprop,0.7791303396224976
0.0,28.0,1.0,rmsprop,0.7936863303184509
0.0,48.0,1.0,adam,0.7855622172355652
0.05,36.0,1.0,sgd,0.7039366364479065
0.0,16.0,1.0,adam,0.7625455260276794
0.05,8.0,2.0,sgd,0.5781765580177307
0.1,44.0,1.0,adam,0.8041070103645325
0.0,48.0,2.0,rmsprop,0.7908446192741394
0.1,48.0,3.0,adam,0.7974104285240173
0.15000000000000002,8.0,3.0,adam,0.6947047114372253
0.15000000000000002,44.0,2.0,sgd,0.6261268258094788
0.0,48.0,2.0,adam,0.7965831160545349
0.1,36.0,1.0,sgd,0.6729415655136108
0.05,24.0,1.0,adam,0.777475893497467
0.05,28.0,2.0,rmsprop,0.7845652103424072
0.0,24.0,1.0,sgd,0.6185124516487122
0.0,16.0,2.0,rmsprop,0.760633111000061
0.1,44.0,2.0,adam,0.795131266117096
0.15000000000000002,20.0,2.0,rmsprop,0.7910374999046326
0.05,40.0,2.0,rmsprop,0.7767927050590515
0.1,4.0,2.0,sgd,0.5455037355422974
0.1,40.0,3.0,sgd,0.6218577027320862
0.1,12.0,1.0,adam,0.7213766574859619
0.0,12.0,3.0,rmsprop,0.782855749130249
0.15000000000000002,12.0,1.0,sgd,0.6418271660804749
0.1,12.0,3.0,adam,0.7783910632133484
0.05,24.0,2.0,rmsprop,0.7918694019317627
0.0,44.0,1.0,rmsprop,0.7968189120292664
0.15000000000000002,28.0,2.0,sgd,0.6064538955688477
0.15000000000000002,36.0,1.0,sgd,0.6810054183006287
0.15000000000000002,20.0,2.0,adam,0.781328558921814
0.1,20.0,1.0,sgd,0.642337441444397
0.0,8.0,1.0,sgd,0.5855945348739624
0.0,8.0,2.0,rmsprop,0.7202543020248413
0.1,12.0,2.0,adam,0.7258704304695129
0.1,36.0,2.0,sgd,0.6748161911964417
0.0,24.0,1.0,adam,0.7786754965782166
0.1,48.0,3.0,sgd,0.6168658137321472
0.0,48.0,1.0,sgd,0.7026494145393372
0.0,28.0,2.0,sgd,0.6506632566452026
0.05,24.0,2.0,sgd,0.6121238470077515
0.15000000000000002,8.0,2.0,adam,0.7113146781921387
0.15000000000000002,36.0,3.0,adam,0.7937411665916443
0.05,44.0,2.0,adam,0.7978174090385437
0.1,16.0,3.0,adam,0.7619937062263489
0.15000000000000002,44.0,2.0,adam,0.7914093136787415
0.05,4.0,3.0,rmsprop,0.6766625046730042
0.15000000000000002,12.0,1.0,adam,0.7212194800376892
0.1,36.0,3.0,rmsprop,0.7856127023696899
0.05,12.0,1.0,rmsprop,0.7530465126037598
