sizes,activation,accuracy,f1_score,epochs,l_rate
"[784, 128, 64, 10]",relu,0.17757142857142857,0.13838962116437697,10.0,0.001
"[784, 128, 64, 10]",relu,0.5808571428571428,0.5229174432822934,10.0,0.01
"[784, 128, 64, 10]",relu,0.8642857142857143,0.8627328935928539,10.0,0.1
"[784, 128, 64, 10]",relu,0.25742857142857145,0.23672101062177134,20.0,0.001
"[784, 128, 64, 10]",relu,0.7442857142857143,0.733689368609854,20.0,0.01
"[784, 128, 64, 10]",relu,0.8915714285714286,0.8905548930237505,20.0,0.1
"[784, 128, 64, 10]",relu,0.29514285714285715,0.2659183720375861,30.0,0.001
"[784, 128, 64, 10]",relu,0.7778571428571428,0.7736079180581766,30.0,0.01
"[784, 128, 64, 10]",relu,0.9015714285714286,0.9003450907080832,30.0,0.1
"[784, 128, 64, 10]",sigmoid,0.14485714285714285,0.08577957340870722,10.0,0.001
"[784, 128, 64, 10]",sigmoid,0.30428571428571427,0.20606214136524176,10.0,0.01
"[784, 128, 64, 10]",sigmoid,0.6998571428571428,0.6500509578736766,10.0,0.1
"[784, 128, 64, 10]",sigmoid,0.2357142857142857,0.15538668243172868,20.0,0.001
"[784, 128, 64, 10]",sigmoid,0.3588571428571429,0.2586683113452072,20.0,0.01
"[784, 128, 64, 10]",sigmoid,0.7702857142857142,0.7277293809809031,20.0,0.1
"[784, 128, 64, 10]",sigmoid,0.12457142857142857,0.037475430766720386,30.0,0.001
"[784, 128, 64, 10]",sigmoid,0.5398571428571428,0.44789539111794135,30.0,0.01
"[784, 128, 64, 10]",sigmoid,0.8124285714285714,0.7716465901882892,30.0,0.1
